TIME;CH1;CH2;CH3;CH4;CH5;CH6;CH7;CH8;CH9;CH10
18:37:41,26;2931,22;977,27;463,78;4,15;;;;;;
18:37:43,69;2962,71;989,46;468,24;4,07;;;;;;
18:37:46,10;2963,48;991,2;467,47;4,04;;;;;;
18:37:48,53;2959,85;991,2;467,29;4,07;;;;;;
18:37:50,94;2960,27;993,12;467,95;4,07;;;;;;
18:37:53,34;2956,89;993,04;467,63;4,07;;;;;;
18:37:55,77;2956,11;994,34;468,38;4,04;;;;;;
18:37:58,18;2959,03;996,74;467,82;4,07;;;;;;
18:38:00,60;2966,15;997,4;468,26;4,04;;;;;;
18:38:03,01;2961,06;999,92;468,19;4,04;;;;;;
18:38:05,44;2963,55;1002,12;468,02;4,01;;;;;;
18:38:07,86;2965,18;1002,46;467,65;4,04;;;;;;
18:38:10,27;2962,76;1000,8;467,99;4,04;;;;;;
18:38:12,70;2957,7;1001,74;467,27;4,04;;;;;;
18:38:15,12;2956,21;1001,56;466,82;4,04;;;;;;
18:38:17,53;2955,63;999,04;466,59;4,04;;;;;;
18:38:19,96;2955,35;997,54;466,46;4,04;;;;;;
18:38:22,37;2948,23;997,46;466,29;4,01;;;;;;
