TIME;CH1;CH2;CH3;CH4;CH5;CH6;CH7;CH8;CH9;CH10
18:33:44,25;3339,57;1011,38;502,22;3,98;;;;;;
18:33:46,66;3343,16;1010,52;501,29;4,04;;;;;;
18:33:49,08;3368,7;1009,73;501,37;4,01;;;;;;
18:33:51,51;3446,97;1007,95;499,07;4,04;;;;;;
18:33:53,92;3429,68;1008,08;496,33;4,1;;;;;;
18:33:56,35;3406,38;1010,49;499,32;4,1;;;;;;
18:33:58,77;3375,21;1009,11;497,44;4,07;;;;;;
18:34:01,19;3365,36;1008,13;498,45;4,12;;;;;;
18:34:03,61;3373,95;1006,78;496,29;4,12;;;;;;
18:34:06,02;3334,66;1011,48;497,56;4,12;;;;;;
18:34:08,46;3183,52;1010,32;494,38;4,1;;;;;;
18:34:10,88;3306,17;1012,7;495,26;4,1;;;;;;
18:34:13,29;3333,57;1009,4;493,82;4,18;;;;;;
18:34:15,72;3326,36;1006,22;492,98;4,01;;;;;;
18:34:18,14;3346,22;1006,62;490,95;3,93;;;;;;
18:34:20,57;3376,49;1007,54;492,11;4,01;;;;;;
18:34:22,97;3356,73;1005,9;491,94;4,18;;;;;;
18:34:25,40;3375,52;1007,77;492,88;4,21;;;;;;
18:34:27,83;3351,69;1005,88;491,49;4,21;;;;;;
18:34:30,25;3334,35;1004,58;490,3;4,23;;;;;;
18:34:32,66;3352,78;1004,22;490,82;4,23;;;;;;
18:34:35,09;3349,4;1005,24;493,28;4,23;;;;;;
18:34:37,50;3346,7;1005,48;494,11;4,26;;;;;;
18:34:39,93;3335,86;1001,86;487,28;4,23;;;;;;
18:34:42,35;3334,73;1002,68;493,46;4,23;;;;;;
18:34:44,78;3345,45;1003,5;491,81;4,21;;;;;;
18:34:47,19;3318,42;1003,54;490,54;4,23;;;;;;
18:34:52,04;3376,04;1003,78;488,4;4,23;;;;;;
18:34:54,46;3379,5;1001;489,44;4,26;;;;;;
18:34:56,88;3377,81;1000,46;485,88;4,26;;;;;;
18:34:59,31;3414,83;1002,62;483,68;4,23;;;;;;
18:35:01,72;3372,78;1001,64;484,08;4,23;;;;;;
18:35:04,15;3368,72;1001,72;485,97;4,23;;;;;;
18:35:06,56;3398,73;1002,8;485,46;4,23;;;;;;
18:35:08,99;3644,94;1004,08;483,27;4,23;;;;;;
18:35:11,42;3576,92;1004,04;482,55;4,26;;;;;;
18:35:13,83;3606,2;1004,74;484,33;4,21;;;;;;
18:35:16,25;3585,13;1007,6;483.52|t.26;;;;;;;
18:35:18,66;3618,02;997,94;482,92;4,26;;;;;;
18:35:21,09;3619,45;998,68;482,02;4,29;;;;;;
18:35:23,50;3611,6;999,24;482,35;4,26;;;;;;
18:35:25,92;3666,96;999,68;482,11;4,26;;;;;;
18:35:28,35;3618,17;1001,54;480,57;4,35;;;;;;
18:35:33,18;3545.2};"10?;?04";479.5??4q2n?3580.14;1004,26;478,6;4,23;;;;
18:35:35,61;3552,09;1001,6;480,43;4,29;;;;;;
18:35:38,03;3552,34;1003,94;480,19;4,26;;;;;;
18:35:40,44;3456,72;1002,06;479,45;4,21;;;;;;
18:35:42,86;3411,35;999,38;479,54;4,26;;;;;;
18:35:45,28;3426,27;1002,26;479,11;4,23;;;;;;
18:35:47,70;3420,86;999,88;475,93;4,23;;;;;;
18:35:50,11;3370,78;998,04;476,68;4,21;;;;;;
18:35:52,54;2817,4;1001,84;477,66;4,04;;;;;;
18:35:54,96;2798,77;1000,5;484,06;3,96;;;;;;
18:35:57,37;2774,2;986,36;479,7;3,82;;;;;;
18:35:59,80;2777,33;989;477,39;4,01;;;;;;
18:36:02,21;2791,41;986,88;478,31;4,04;;;;;;
18:36:04,63;2794,59;986,08;478,31;4,07;;;;;;
18:36:07,04;2813,7;982,22;479,33;4,07;;;;;;
18:36:09,45;2813,16;981,22;481,08;4,07;;;;;;
18:36:16,71;2822,46;981,58;480,07;4.`bZ2794.58;979,08;479,77;4,1;;;
18:36:19,12;2809,96;980,52;478,85;4,04;;;;;;
18:36:26,37;219.67;980,45;479,21;4.???2858?5?;981,86;>w?+f?;"TH;2868.84";983,54;476,38;4,1
18:36:36,03;2879,57;98s*5x;475,53;4.QUHl2906.67;983,34;474,58;4,07;;;
18:36:38,45;2911,37;981,25;474,18;4,1;;;;;;
18:36:48,11;2910,4;981,88;471,36;4,12;;;;;;
18:36:50,54;2920,6;984,58;472,35;4,1;;;;;;
18:36:52,94;2912,26;982,01;472,01;4,12;;;;;;
18:37:00,19;2915??3-9P.?2;471(43;4?13IJ2935.11;980,56;471,57;4,1;;;;
18:37:05,03;2938,79;"981.16470.80|R}	2930.77";981,24;470,22;4,1;;;;;
18:37:07,44;2935,65;981,03;469,69;4,1;;;;;;
18:37:09,85;2943,85;980,39;469,42;4,1;;;;;;
18:37:14,70;2943,56;971,14;467.56 ?.10;;;;;;;
18:37:17,11;2954,25;980,2;468.41?7.20;;;;;;;
18:37:19,53;2951,58;978,85;467,48;4,1;;;;;;
18:37:21,94;2945.28*979.92;467,99;4,1;;;;;;;
18:37:24,36;2941,45;974,2;466,4;4,1;;;;;;
18:37:26,77;2941,32;977,53;468,52;4,12;;;;;;
18:37:29,18;2967,15;980,75;467,8;4,04;;;;;;
18:37:31,61;2949,89;980,35;466,94;4,12;;;;;;
18:37:34,02;2957,09;983,5;467,58;4,1;;;;;;
18:37:36,44;2958,98;982,92;466,53;4,07;;;;;;
18:37:38,85;2938,11;978,75;462,89;4,1;;;;;;
