TIME;CH1;CH2;CH3;CH4;CH5;CH6;CH7;CH8;CH9;CH10
18:40:40,15;2738,58;990,8;434,41;3,18;;;;;;
18:40:42,57;2767,13;999,94;439,19;3,12;;;;;;
18:40:45,00;2773,6;1002,1;440,16;3,01;;;;;;
18:40:47,41;2770,24;1001,62;439,28;3,01;;;;;;
18:40:49,84;2762,23;1001,74;439,3;3,04;;;;;;
18:40:52,25;2758,41;1002,42;439,28;3,01;;;;;;
18:40:54,68;2761,77;998,98;438,3;3,06;;;;;;
18:40:57,09;2752,51;997,66;439,51;3,04;;;;;;
18:40:59,51;2743,68;995,76;439,39;3,04;;;;;;
18:41:01,92;2722,02;984,98;434,47;2,98;;;;;;
18:41:04,34;2729,29;986,78;436,78;3,04;;;;;;
18:41:06,75;2724,51;987,52;436,31;2,95;;;;;;
18:41:09,17;2695,02;982,81;433,95;3,04;;;;;;
18:41:11,58;2699,31;981,42;433,14;3,06;;;;;;
18:41:14,01;2694,73;981,95;432,72;3,06;;;;;;
18:41:16,42;2715,65;982,86;433,32;2,98;;;;;;
18:41:18,84;2722,17;985,18;434,13;2,95;;;;;;
18:41:21,25;2718,13;986,66;434,37;2,95;;;;;;
18:41:23,66;2698,01;983,36;432,6;3,04;;;;;;
18:41:26,08;2696,96;983,84;432,79;2,98;;;;;;
18:41:28,51;2686,11;982,07;432,15;3,04;;;;;;
18:41:30,92;2683,87;981,93;431,04;3,04;;;;;;
18:41:33,32;2685,92;983,29;432,1;3,01;;;;;;
18:41:35,75;2674,07;984,99;430,43;3,06;;;;;;
18:41:38,17;2652,94;982,83;430,44;3,06;;;;;;
18:41:40,58;2653,03;982,59;432,41;3,04;;;;;;
18:41:42,99;2682,61;987,06;430,86;3,04;;;;;;
18:41:45,42;2689,7;985,92;431,03;3,01;;;;;;
18:41:47,84;2696,71;984,5;430,81;2,98;;;;;;
18:41:50,25;2687,47;986,88;431,85;2,98;;;;;;
18:41:52,66;2682,84;986,44;432,84;2,98;;;;;;
18:41:55,08;2686,18;987,9;432,84;2,93;;;;;;
18:41:57,49;2778,78;990,78;436,68;2,65;;;;;;
18:42:02,32;2672,96;965,94;429,86;3,04;;;;;;
18:42:04,75;2661,07;964,44;429,03;3,06;;;;;;
18:42:07,16;2654,24;960,86;428,2;3,12;;;;;;
18:42:09,57;2651;959,88;428,17;3,12;;;;;;
18:42:11,99;2652,35;959,24;427,95;3,12;;;;;;
18:42:14,41;2640,72;957,98;427,27;3,18;;;;;;
18:42:16,82;2636,9;956,68;426,72;3,18;;;;;;
18:42:19,24;2635,01;956,6;426,43;3,15;;;;;;
18:42:21,65;2630,06;956,4;425,97;3,2;;;;;;
18:42:24,06;2630,64;957,46;425,58;3,2;;;;;;
18:42:26,49;2626,51;956,94;426,24;3,23;;;;;;
18:42:28,90;2632,31;957;426,43;3,2;;;;;;
18:42:31,32;2713,39;969,26;432;2,9;;;;;;
18:42:33,74;2761,04;979,89;434,95;2,73;;;;;;
18:42:36,15;2855,79;991,56;441,5;2,48;;;;;;
18:42:38,56;2729,52;974,1;431,05;2,84;;;;;;
18:42:40,99;2728,12;975,26;431,96;2,87;;;;;;
18:42:43,40;2719,85;972,6;430,22;2,84;;;;;;
18:42:45,81;2733,13;975,36;430,72;2,81;;;;;;
18:42:48,23;2647,5;973,16;428,51;2,95;;;;;;
18:42:50,64;2630,16;972,5;427,26;3,01;;;;;;
18:42:53,06;2663,98;972,62;427,35;3,01;;;;;;
18:42:55,48;2649,11;969,16;425,9;3,06;;;;;;
18:42:57,90;2632,63;969,2;425,1;3,06;;;;;;
18:43:00,31;2622,08;969,58;425,09;3,06;;;;;;
