TIME;CH1;CH2;CH3;CH4;CH5;CH6;CH7;CH8;CH9;CH10
18:38:58,65;2928,88;999,18;460,25;3,01;;;;;;
18:39:01,06;2927,26;999,16;460,01;3,04;;;;;;
18:39:03,47;2921,5;998,16;459,78;2,98;;;;;;
18:39:05,90;2916,26;997,04;459,46;2,98;;;;;;
18:39:08,31;2908,01;996,52;459,3;3,04;;;;;;
18:39:10,73;2900,09;995,3;458,38;3,01;;;;;;
18:39:13,14;2858,09;994,4;458,38;3,04;;;;;;
18:39:15,55;2832,18;994,08;458,09;3,06;;;;;;
18:39:17,98;2853;993,06;457,52;3,04;;;;;;
18:39:20,39;2841,22;992,62;457,25;3,06;;;;;;
18:39:22,81;2837,44;993,48;456,36;3,06;;;;;;
18:39:25,22;2835,4;993,88;455,39;3,04;;;;;;
18:39:27,64;2824,97;995,42;454,99;3,06;;;;;;
18:39:30,06;2804,15;995,84;454,4;3,06;;;;;;
18:39:32,48;2796,3;996,42;453,72;3,06;;;;;;
18:39:34,89;2794,37;997,58;452,64;3,06;;;;;;
18:39:37,30;2795,22;999,48;452,43;3,06;;;;;;
18:39:39,73;2811,98;1001,48;452,35;3,06;;;;;;
18:39:42,15;2814,34;1002,1;452,53;3,04;;;;;;
18:39:44,56;2820,05;1001,08;453,27;3,06;;;;;;
18:39:46,99;2817,36;999,42;451,97;3,06;;;;;;
18:39:49,40;2824,15;998,7;450,53;3,01;;;;;;
18:39:51,82;2812,75;998,1;450,12;2,98;;;;;;
18:39:54,23;2793,77;997,82;449,28;3,01;;;;;;
18:39:56,66;2803,96;997,62;448;3,04;;;;;;
18:39:59,07;2826,32;996,6;447,39;3,01;;;;;;
18:40:01,48;2825,87;995,74;447,16;3,04;;;;;;
18:40:03,90;2822,63;994,68;446,81;3,06;;;;;;
18:40:06,31;2815,11;993,64;446,35;3,06;;;;;;
18:40:08,72;2784,26;993,74;446,42;3,04;;;;;;
18:40:11,15;2784,95;993,62;446,63;3,04;;;;;;
18:40:13,56;2795,81;993,88;447,01;3,01;;;;;;
18:40:15,98;2795,03;994;446,48;3,06;;;;;;
18:40:18,39;2796,21;993,5;445,81;3,06;;;;;;
18:40:20,81;2785,36;993,4;445,23;3,06;;;;;;
18:40:23,22;2785,7;992,4;444,74;3,06;;;;;;
18:40:25,64;2781,65;993,7;444,34;3,06;;;;;;
18:40:28,05;2766,75;995,7;443,83;3,06;;;;;;
18:40:30,48;2747,77;998;443,03;3,09;;;;;;
18:40:32,89;2762,15;1000,44;442,26;3,06;;;;;;
18:40:35,32;2763,73;1001,5;441,96;3,04;;;;;;
18:40:37,74;2773,14;1000,82;440,25;3,06;;;;;;
